Name,Rating,Total Reviews,Address,Website,Phone
"Sinus Klíma - és Hűtéstechnika, Orosz Csaba","5,0",,"Szentes, Szalai u. 5, 6600",klimaeshoszivattyu.hu,06 70 533 3455
Csendes Klíma Kft.,"4,9",,,csendesklima.hu,06 30 318 1516
Sinus-Vill Kft.,"5,0",,"Szentes, Nagyhegy sor 2-278/B, 6600",,(06 62) 225 446
Pengő Ferenc e.v.,"5,0",,"Szentes, Új u. 9, 6600",klimaszentes.hu,06 70 776 4975
Hézer Klíma,"5,0",,"Szentes, Futó Zoltán u. 33, 6600",,06 30 321 6292
"Szentes-Ker Kft.- Épületgépészet Kazánok,Gázkészülékek, Fürdőszoba felszerelések boltja","4,7",,"Szentes, Arany János u. 23, 6600",szentesker.hu,06 20 594 5225
Termoker-Szentes Kft.,"4,7",,"Szentes, Villogó u. 12, 6600",termoker.hu,(06 63) 562 415
"Szentes-gép Szerelvénybolt, Szegvári István","4,7",,"Szentes, Rákóczi Ferenc u. 43, 6600",facebook.com,(06 63) 401 424
Euronics Szentes,"4,4",,"Szentes, Alsórét 258, 6600",euronics.hu,(06 1) 411 8434
