Name,Rating,Total Reviews,Address,Website,Phone
Prímaklíma Bt.,"4,5",,"Kiskunfélegyháza, liget utca 59, 6100",primaklimabt.hu,06 70 334 9917
Szerelvenybolt.hu,"4,6",,"Kecskemét, Ceglédi út 38, 6000",szerelvenybolt.hu,(06 76) 501 463
H&H Klímatechnika kis- és nagykereskedés,"4,5",,"Kecskemét, Budai u. 159, 6000",hhklima.hu,06 30 600 2006
Tisza Cool Klíma Kft.,,,"Szeged Sárosi utca 2.10 em/60 ajtó, 6724",tiszacoolklima.hu,06 70 234 9932
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
DeCool Klímatechnika Kft.,"5,0",,"Kecskemét, Csányi János krt. 12, 6000",,06 30 531 3302
