Name,Rating,Total Reviews,Address,Website,Phone
P-Klíma,"5,0",,"Szekszárd, Alisca u. 12, 7100",,06 20 408 4712
"Hazaklíma Kft - Klímaszerelés, Klíma Javítás, Hőszivattyú, Ipari Hűtéstechnika, Szivárgás Vizsgálat","4,6",,,hazaklima.hu,06 30 957 6663
AC Best Klíma,"4,8",,"Szekszárd, Mikes u. 24, 7100",acbestklima.hu,06 70 301 2121
"AC-KER Bt - Klíma - Légtechnika - Hőszivattyú Beszerelés, Javítás, Szervizelés","4,3",,"Szekszárd, Sport u. 5, 7100",acker-autoklima.uzleti.hu,(06 74) 416 950
"Klíma, Légtechnika",,,"Szekszárd, Cinka u. 14, 7100",,06 30 916 0180
AC-KER Bt,"4,4",,"Szekszárd, Zrínyi u. 107, 7100",acker-autoklima.uzleti.hu,(06 74) 416 950
Gienger Hungária Épületgépészeti Kft.,"4,9",,"Szekszárd, Tartsay Ipartelep 12, 7100",gienger.hu,(06 74) 311 058
Gépész Szakáruház - Plan Zrt.,"4,5",,"Szekszárd, Páskum u. 1, 7100",gepesz.hu,(06 74) 313 697
