Name,Rating,Total Reviews,Address,Website,Phone
Fehér Klímavill Kft,"4,5",,"Orosháza, Luther u. 5, 5900",feherklima.hu,06 30 206 8711
Oros-Cool Kft.,"4,8",,"Orosháza, Árpád u. 1, 5900",oros-cool.hu,06 70 630 2011
Galaxy Klímatechnika,"5,0",,"Orosháza, Jászai-Horváth u. 60, 5900",,06 30 426 9614
Oros Klima,"3,0",,"Orosháza, Kígyó u., 5900",,06 20 989 6660
Green Gépész Kft. Víz Gáz Fűtés Szerelvénybolt,"4,6",,"Orosháza, Könd u. 17, 5900",greengepesz.hu,06 30 156 6783
Magony gépjárműklíma szervíz,"4,8",,"Orosháza, Lenkei u. 54, 5903",facebook.com,06 30 261 1828
