Name,Rating,Total Reviews,Address,Website,Phone
"Reklektik - belsőépítész, lakberendező",,,"Budapest, Szent István krt. 22. 3, 1137",,06 30 613 2118
Flat Art 2000 Lakásművészeti Stúdió,"4,6",,"Budapest, Csata u. 17, 1135",flatart.hu,06 20 480 5312
PINXIT Design Studio Kft.,,,"Budapest, Hollán Ernő u. 9, 1136",,06 70 616 9772
New Age Interior Kft.,,,"Budapest, Pozsonyi út 33/a, 1137",newage-interior.hu,06 20 929 3890
Lókai Teréz,,,"Budapest, Pannónia u. 56, 1136",lokaiterez.hu,06 30 984 1575
"DD Interior Studió - Belsőépítész, lakberendező","4,5",,"Budapest, Szabolcs u. 18.sz, 1113",dorolakberendezes.hu,06 30 255 2479
Járó Brigitta Lakberendező & Belsőépítész,"5,0",,"Budapest, Pozsonyi út 16, 1137",brigittajaro.carrd.co,06 30 292 4874
KEKinterior,"5,0",,"Budapest, Jász u. 36-40, 1135",kekinterior.com,06 20 570 7054
Studio Miliő -építésziroda,"5,0",,"Budapest, Taksony u. 9, 1134",studiomilio.hu,06 30 613 2421
Feszített mennyezet • fezet,"5,0",,"Budapest, Dagály u. 20, 1138",fezet.hu,06 70 741 4760
"ebanista, carpenter, sculptor, asztalos, szobrász",,,"Budapest, Gogol u. 14, 1133",altmeister.freeweb.hu,06 70 564 3298
A3 Építész Kft.,"4,2",,"Budapest, Bulcsú u. 5-9-földszint 6, 1134",a3epitesz.hu,06 30 437 4591
Kis Judit lakberendező - Lakberendezés-kivitelezés egykézben -,"5,0",,"Budapest, Árpád út 90-92, 1042",egykislakberendezes.hu,06 30 951 2765
Platinum Grafikai Laboratórium,"5,0",,"Budapest, Babér u. 17, 1131",platinum.hu,(06 1) 341 0417
Yellow Group Interior Design Kft.,"1,0",,"Budapest, Petneházy u. 54, 1139",yellowgroup.hu,06 70 941 8001
Apt Impact interior design,"5,0",,"Budapest, Mohács u. 8, 1135",facebook.com,06 20 205 9699
Kubus Design Concept Store,"4,0",,"Budapest, Bodor utca 5. Magyarország, 1138, 1138",,(06 1) 447 2100
"Lakberendező, Profi Lakberendezés - Csillag Gabriella","5,0",,"Budapest, Csanády u. 16-2/2, 1132",gabriellacsillag.com,06 70 439 7594
Period Design Kft.,,,"Budapest, Hegedűs Gyula u. 8, 1136",period.hu,06 20 942 9278
Árnyékoljunk.hu - Blip.hu Kft.,"1,0",,"Budapest, Petneházy u. 56, 1139",,06 70 212 1846
Platinum Grafikai Laboratórium,"5,0",,"Budapest, Babér u. 17, 1131",platinum.hu,(06 1) 341 0417
Yellow Group Interior Design Kft.,"1,0",,"Budapest, Petneházy u. 54, 1139",yellowgroup.hu,06 70 941 8001
A virágárusfiú,,,"Budapest, Pozsonyi út 11, 1137",,06 70 222 7282
Desing2you,,,"Budapest, Hegedűs Gyula u. 28, 1136",design2you.hu,06 30 103 1371
Tibo Interni,,,"Budapest, Hollán Ernő u. 30, 1136",tibointerni.hu,06 30 554 8069
"Tiffany Lámpa. Ajtók, ablakok ólomüvegezése.","5,0",,"Budapest, Kárpát u. 26, 1133",tiffanylampa.gportal.hu,06 20 540 9481
Kubus Design Concept Store,"4,0",,"Budapest, Bodor utca 5. Magyarország, 1138, 1138",,(06 1) 447 2100
Period Design Kft.,,,"Budapest, Hegedűs Gyula u. 8, 1136",period.hu,06 20 942 9278
OtthonCent,"5,0",,"Budapest, Róbert Károly körút 12b, 1138",otthoncent.hu,
Árnyékoljunk.hu - Blip.hu Kft.,"1,0",,"Budapest, Petneházy u. 56, 1139",,06 70 212 1846
Hed Design Studio,,,"Budapest, Radnóti Miklós u. 27, 1137",heddesignstudio.com,
Kontra Richárd ÉPÜLETGÉPÉSZ,,,"Budapest, Süllő u. 5, 1133",facebook.com,06 70 170 5752
Geppetto Belsőépítész Iroda,"4,6",,"Budapest, Pasaréti út 31-I/2, 1026",geppetto.hu,(06 1) 270 0107
Vesta Home Magyarország Zrt. - Lakberendezési szakáruház,"4,2",,"Budapest, Röppentyű u. 65-67.földszint, 1139",vestahome.hu,(06 1) 781 1880
Ecsetvonás Művészeti Szolgáltató,"5,0",,"Budapest, Forgách u. 33, 1139",,06 30 907 1877
Jolex Építész Kft,"2,3",,"Budapest, Tátra u. 5/A, 1136",,06 30 116 2470
DIEGO Angyalföld,"4,6",,"Budapest, Róbert Károly körút 67, 1134",diego.hu,(06 1) 239 0109
RELOAD Építészstúdió,"5,0",,"Budapest, Rokolya Irodaház, Rokolya u. 13, 1131",rla.hu,06 30 523 7689
Lakberendező,"5,0",,"Budapest, Falk Miksa u. 3, 1055",lakberendezo.hu,06 70 426 2522
Viktoria Lang Interiors,,,"Budapest, Újpesti rkp. 29, 1137",langviktoria.com,06 30 405 1313
Home&Deco Kft,"4,5",,"Budapest, Lomb u. 31/b, 1139",homeanddeco.hu,06 30 153 0608
Olasz kanapé,,,"Budapest, Váci út 95, 1139",olaszkanape.hu,06 30 380 0000
"Medo Trade Kft. - Zuhanyfolyóka, Padlóösszefolyó, Lakberendezés, Lakberendező, Design Lámpa","5,0",,"Budapest, Szent László út 28-30, 1135",,06 70 948 2801
Planpro Építésziroda,"5,0",,"Budapest, Tomori u. 21, 1131",planpro.hu,06 70 509 2913
Trend Építészet Group,,,"Budapest, Esztergomi út 54/b, 1138",,06 20 376 8809
"Bényei István - építész, belsőépítész","4,9",,"Budapest, Szamóca u. 8/b, 1125",benyei.hu,06 30 931 1613
HBELLORIN - Interior Design and Renovation in Budapest,"5,0",,"Budapest, Andrássy út 45, 1061",hbellorin.com,06 70 523 8635
Masterworks Hungary Kft,"5,0",,"Budapest, Radnóti Miklós u. 23, 1137",masterworks.hu,06 70 557 7451
M&M TeleHome Kft. Lakásfelújítás és generálkivitelezés,"4,4",,"Budapest, AL. 2, Tátra u. 5/A, 1136",telehome.hu,06 30 366 0936
Gira Magyarországi Képviselet és Márkabolt,"4,6",,"Budapest, Bodor u. 5, 1138",gira.hu,06 20 927 6380
Plusdesign Studio Kft.,"5,0",,"Budapest, Hegedűs Gyula u. 49, 1136",plusdesign.hu,06 70 371 3356
Konyhabutik,,,"Budapest, Béke u. 105, 1131",konyhabutik.hu,(06 1) 408 2019
Életvezetés,,,"Budapest, Reitter Ferenc u. 83, 1135",eletvezetes.hu,(06 1) 794 5335
KAhome - Otthonka Lakástextil Kft.,"3,5",,"Budapest, Szent László út 14, 1135",kahome.hu,(06 1) 792 5411
"Erdélyi Krisztina - belsőépítészet, lakberendezés",,,"Budapest, Zöldlomb u. 40, 1025",erdelyikrisztina.hu,06 70 207 6026
