Name,Rating,Total Reviews,Address,Website,Phone
SilentDesign,"4,8",,"Budaörs, Károly király u. 60, 2040",silentdesign.hu,06 20 363 6659
Geppetto Belsőépítész Iroda,"4,6",,"Budapest, Pasaréti út 31-I/2, 1026",geppetto.hu,(06 1) 270 0107
Eőry Szilvia - Lakberendező & Belsőépítész,"5,0",,"Budapest, Rákóczi út 20, 1072",eoryszilvia.hu,06 30 974 9051
Galéria készítés,"4,5",,"Budapest, Orczy út 2, 1081",galeriakeszites.eu,06 70 561 4545
Adamdesign Belsőépítész Iroda,"4,9",,"Budapest, Soroksári út 48-Hungária Malomudvar Irodaház, 1095",adamdesignstudio.hu,06 20 969 9388
"Studio Hannes Építészeti, Belsőépítészeti Tervező és Tanácsadó Kft.","5,0",,"Budapest, Izabella u. 23, 1077",studiohannes.com,06 70 661 4009
Cadden studio Kft. | Szén Molnár Tamás - belsőépítész,"5,0",,"Budapest, Bartók Béla út 134-I. emelet 8, 1115",szenmolnar.com,06 30 178 9255
Fancy-Home,"4,7",,"Budapest, József krt. 59, 1085",fancy-home.hu,06 20 404 2598
MádiLáncos Studio Kft.,"4,9",,"Budapest, ZenGarden Irodaház VII. emelet, Horvát u. 14-26, 1027",madilancos.hu,06 30 601 0064
Time Design Europe Kft.,"5,0",,"Budapest, Százados út 32, 1087",timedesign.hu,(06 1) 781 8743
TérÉrzék Design Stúdió - Belsőépítész Iroda,"5,0",,"Budapest, Drégely u. 6-8 B-ép. 401, 1097",tererzek.hu,06 70 518 2515
Dalmoro Magyarország Kft - French/Italian Interior Designer,"5,0",,"Budapest, Soroksári út 44, 1095",dalmoro.co,06 30 605 5552
Zeelux Interior Design Architect,,,"Budapest, Magdolna u. 14, 1086",,06 20 296 8719
"Lovas Cecília - lakberendezés, belsőépítészet, enteriőrtervezés",,,"Budapest, Balaton u. 12, 1055",,06 30 274 1568
Morphology. Interior Design by Lili Siető,"5,0",,"Budapest, Szentkirályi u. 29-31, 1088",morphology.hu,06 30 635 2511
noppa design stúdió,"5,0",,"Budapest, Horánszky u. 5, 1085",noppa.design,06 30 863 6364
Nemes Tér Stúdió,"5,0",,"Budapest, Árpád út 56, 1041",,06 20 525 2606
kereterdo.hu,"5,0",,"Budapest, Népszínház u. 40, 1081",kereterdo.hu,06 20 589 7194
"Lakberendező, Profi Lakberendezés - Csillag Gabriella","5,0",,"Budapest, Csanády u. 16-2/2, 1132",gabriellacsillag.com,06 70 439 7594
I N T E R I O O R - kft -,"5,0",,"Budapest, Galántai u. 12, 1126",,06 30 900 4344
Design Tervezési Stúdió,,,"Budapest, Tábornok u. 12/1, 1143",,(06 1) 252 2315
"Lovas Cecília - lakberendezés, belsőépítészet, enteriőrtervezés",,,"Budapest, Balaton u. 12, 1055",,06 30 274 1568
BUTLERS Corvin Plaza,"4,2",,"Budapest, Futó u. 37, 1082",butlers.hu,06 30 562 6481
kereterdo.hu,"5,0",,"Budapest, Népszínház u. 40, 1081",kereterdo.hu,06 20 589 7194
Tapétawebáruház,"4,8",,"Budapest, Delej u. 43, 1089",tapetawebaruhaz.hu,(06 1) 303 5641
I N T E R I O O R - kft -,"5,0",,"Budapest, Galántai u. 12, 1126",,06 30 900 4344
Tapétacentrum-Hajlék 2000 Kft.,"4,5",,"Budapest, Kiss József u. 16, 1081",tapetacentrum.hu,(06 1) 303 9052
Öntapadós Tapéta Webáruház,"4,6",,"Budapest, Delej u. 43, 1089",ontapados-tapeta.com,(06 1) 788 5095
"Szín- és stílustanácsadás - Kecskés Rita stílusszakértő, stylist & lakberendező","5,0",,"Budapest, Kuruclesi út 43/B, 1021",stilustanacsadas.hu,06 30 930 4402
Practic Romantic Bútormanufaktúra,"5,0",,"Budapest, József u. 25, 1084",practic.hu,(06 1) 303 6566
"Reklektik - belsőépítész, lakberendező",,,"Budapest, Szent István krt. 22. 3, 1137",,06 30 613 2118
Design Tervezési Stúdió,,,"Budapest, Tábornok u. 12/1, 1143",,(06 1) 252 2315
Somlai Design Studio Kft.,,,"Budapest, Dísz tér 12, 1014",somlaidesign.hu,(06 1) 489 0006
ÉVA BÚTOR KÁRPITOS.COM,"4,8",,"Budapest, Népszínház u. 24, 1081",,06 20 310 9026
Teddy Panni + 1 Kft.,"4,6",,"Budapest Mária utca 36, Baross u 41, 1082",,(06 1) 338 4464
irodatervezes.hu - impressono belsőépítész studio,,,"Budapest, Paulay Ede u. 56, 1061",irodatervezes.hu,06 70 362 6986
stukko nivo,,,"Budapest, Harminckettesek tere 6-d, 1085",stukkonivo.hu,06 30 944 6836
Archikon,"4,7",,"Budapest, Bartók Béla út 61, 1114",archikon.hu,
SÁBALUX Project Kft.,"5,0",,"Budapest, Attila út 27, 1013",sabalux.com,06 30 946 2913
DiVAS Lakberendezés,"4,6",,"Budapest, Erzsébet királyné útja 125, 1142",divashome.hu,06 70 677 8505
LakberMagazin,"4,7",,"Budapest, Hatvany Lajos u. 12, 1039",lakbermagazin.hu,06 30 949 4202
Eon Projekt&Design Kft,,,"Budapest, Városmajor u. 12, 1122",eonprojektdesign.hu,06 30 633 9458
Kis Judit lakberendező - Lakberendezés-kivitelezés egykézben -,"5,0",,"Budapest, Árpád út 90-92, 1042",egykislakberendezes.hu,06 30 951 2765
homesy.net Kft.,"4,1",,"Budapest, József krt. 52-56, 1085",,06 70 613 3001
LAKI Épületszobrász Zrt.,"4,7",,"Budapest, Mogyoród útja 12-14, 1151",laki.hu,(06 1) 271 2030
PiktorFesték Üzletlánc Kft.,"4,6",,"Budapest, Kálvária u. 28, 1089",piktorfestek.hu,(06 1) 333 8982
SZIN-KER Építő Kft.,"4,4",,"Budapest, Nagy Fuvaros u. 3b, 1084",festekarena.hu,06 30 327 6460
Blum Miklós Kárpitos,"5,0",,"Budapest, Somogyi Béla u. 18, 1085",,(06 1) 337 8936
Lauriien design,,,"Budapest, Balassa u., 1205",lauriien.hu,06 30 883 1479
Code Showroom,"5,0",,"Budapest, Aulich u. 1, 1054",codeshowroom.com,(06 1) 267 0312
Prímfest Kft.,"4,7",,"Budapest, Illés u. 17, 1083",primfest.hu,06 70 317 3067
Komandor - Corvin I Beépített szekrény és gardróbszekrény készítés,"5,0",,"Budapest, Futó u. 15-19, 1082",komandorszekreny.hu,06 30 593 1462
Hegi-Lak Trade Kft,,,"Budapest, József utca 47 (4.emelet 6. ), 1084",felujitasok.com,06 20 497 5306
HV Gardrób - bemutató szekrény és gurulós szekrény,"4,3",,"Budapest, Fecske u. 41-43, 1084",hvgardrob.hu,06 30 568 3866
Gosztonyi Beatrix lakberendező,"5,0",,"Budapest, Medve u. 24, 1027",gosztonyibeatrix.hu,06 70 685 9858
Pávaszem - Török kárpit és függöny bolt,"5,0",,"Budapest, Kiss József u. 5, 1081",pavaszem.hu,06 30 461 3105
Natúr Kényelem Kft.,"1,0",,"Budapest, Mária u. 54, 1085",naturkenyelem.hu,(06 1) 429 0052
Dodi Kft.,"4,4",,"Budapest, Népszínház u. 47, 1081",dodikft.hu,(06 1) 334 3127
Rönk Studio,"5,0",,"Budapest, Szilágyi u. 3, 1081",,
Luminaxis Stúdió Kft.,,,"Budapest, Mátyás tér 9, 1084",luminaxis.hu,06 20 511 7670
"Kárpitos Ipari Kft. kárpitos, kárpitozás, ajtókárpitozás, antik bútor felújítás","4,7",,"Budapest, Déri Miksa u. 13, 1084",karpitosszov.hu,06 30 948 8362
BS-SEC,,,"Budapest, Kálvin tér 12, 1085",,(06 1) 856 3648
Átmenet Ékszer Ruházat Lakberendezés - Senzorit Diamond Kft.,"5,0",,"Budapest, Irányi u. 5, 1051",atmenet.eu,06 70 621 1019
Lakásfelújítás,,,"Budapest, József krt. 36, 1085",nozo-lakasfelujitas.hu,06 20 611 8463
Attase Kft.,"4,1",,"Budapest, Hős u. 1/a, 1087",attase.hu,(06 1) 270 9134
Best Door Kispest,"5,0",,"Budapest, Hamvas u. 7-9, 1191",bestdoor.hu,06 70 513 5061
Ablakdoktor.hu /Műanyag ablak szerviz/ - Fritz Gergely ev.,"4,8",,"Budapest, Asztalos Sándor út 5-6, 1087",ablakdoktor.hu,06 70 238 5500
"Vintage, Art Deco, Bauhaus, Mid Century, Space age, Furniture Shop & Workshop.","5,0",,"Budapest, Baross u 21, 1082",radoffurniture.com,06 70 427 0111
Olasz fürdőszoba - Linea 2000 piu Kft.,"3,9",,"Budapest, József krt. 26, 1085",csempe.co,(06 1) 233 5184
Pro Arch Építész Stúdió Bt.,,,"Budapest, József krt. 36, 1085",,(06 1) 303 1075
Celen Textil Függöny Outlet,"4,5",,"Budapest, Kőbányai út 33, 1087",fuggonyoutlet.com,06 30 855 2332
Blog - Tapétaüzlet,,,"Budapest, Delej u., 1089",bordur-tapeta.hu,(06 1) 788 5095
LA- Center Kft.,"4,7",,"Budapest, Orczy út 37, 1089",lacenter.hu,(06 1) 299 0421
K-ELME Kft Méteráru webshop,"4,9",,"Budapest, Práter u. 65, 1083",k-elme.com,06 30 665 3744
Lightway Hungary,,,"Budapest, József krt. 44, 1084",lightway.artnes.hu,06 70 429 6100
"JYSK Corvin Plaza City, Budapest","4,2",,"Budapest, Futó u. 37, 1083",jysk.hu,(06 1) 701 4222
Garai Függöny Centrum,"4,7",,"Budapest, Baross tér, 1087",,
Konyha-Szerviz Bt. - Konyhabútor,"4,4",,"Budapest, Práter u. 16, 1083",igenyesbutor.hu,06 30 954 4621
"I Love Textil, Budapest, József körút 60","4,8",,"Budapest, József krt. 60, 1085",facebook.com,(06 1) 313 9844
Bizományos Országos Kft. Használt irodabútorok áruháza.,"4,6",,"Budapest, Déri Miksa u. 10, 1084",hasznaltirodabutor.hu,06 20 921 0370
West Quality Irodabútor Gyártó és Forgalmazó Kft.,"5,0",,"Budapest, Mária u. 22, 1085",westquality.hu,(06 1) 411 0679
Palazzo Kft.,"3,8",,"Budapest, Öntöde u. 12, 1211",terrazzo.hu,06 30 948 0241
OnHome,,,"Budapest, Kiss József u. 19, 1081",,
"Padlókirály Kft. - Modulszőnyeg és Padlószőnyeg, Padló, Laminált Parketta, Svédpadló Budapest","3,8",,"Budapest, Népszínház u. 22, 1081",padlokiraly.hu,06 70 550 8133
Keret Bolt,"4,7",,"Budapest, Victor Hugo u. 8, 1132",keretbolt.hu,06 70 583 1474
Máthé Textil Zrt.,"4,6",,"Budapest, Baross tér, 1087",,(06 1) 340 1705
HOME+ Lakberendezés,,,"Budapest, Bognár u. 12, 1022",home-plus.hu,06 20 594 9565
Molnos és Fia Régiségbolt,"1,0",,"Budapest, II. János Pál pápa tér 14, 1081",,(06 1) 334 3642
"MAX Üvegstúdió Kft - Üvegfal, Üvegkorlát, Üvegajtó, Zuhany Üvegfal, Üveg Zuhanykabin","4,0",,"Budapest, Váci út 60-62, 1132",uvegstudio.hu,06 30 200 9000
Marrakesh Cementlap Mintabolt: Kézműves cementlapok raktárról,"4,6",,"Budapest, Bródy Sándor u. 34, 1088",marrakeshcementlap.hu,(06 1) 783 9434
Empire Kárpitos.Com,"5,0",,"Budapest, Népszínház u. 24, 1081",karpitos.com,06 20 310 9026
Archikron,,,"Budapest, Gábor Áron u., 1026",archikron.hu,(06 46) 508 353
Mini Keller Kft.,"4,8",,"Budapest, Nagy Lajos király útja 184, 1149",minikeller.hu,(06 1) 383 3905
Bóna Fürdőszoba Áruház,"4,2",,"Budapest, Könyves Kálmán krt. 62-64, 1087",bonafurdoszoba.hu,(06 1) 210 0001
architettura di interni,,,"Budapest, Bécsi út 77, 1035",mustdesign.hu,06 70 610 0829
"AWP-2000 Kft || uszodatechnika, belsőépítészet, vendéglátó ipari belső berendezések",,,"Budapest, Korányi Sándor u. 3b, 1089",,06 30 952 3503
Jola - Kívül Belül Otthon,"4,9",,"Budapest, Róna u. 5-7, 1142",jola.hu,06 20 400 5048
GOOD AT FORMS,,,"Budapest, Jázmin u. 16-a, 1/14, 1083",goodaf.hu,06 30 893 7444
FITOUT ZRT.,"4,9",,"Budapest, Lomb u. 37-39, 1139",fitout.hu,(06 1) 700 1730
Az oldal átmenetileg nem elérhető!,,,"Budapest, Nap u., 1082",relaxsan.hu,06 20 401 0454
NGM SYSTEM KFT,,,"Budapest, József krt., 1085",,06 30 758 0349
Dubai Textil,"4,8",,"Budapest, Rákóczi út 63, 1081",dubaicity.unas.hu,06 70 386 5132
L&O Bútor,"4,2",,"Budapest, Népszínház u. 20, 1081",,(06 1) 210 5134
Komandor,,,"Budapest, Futó u., 1082",komandor.hu,06 30 593 1462
Elektronikai bolt,"4,0",,"Budapest, Nagy Fuvaros u. 5, 1084",,(06 1) 786 3677
Házak Áruháza,"4,3",,"Budapest, Kerepesi út 115-117, 1106",hazakaruhaza.com,(06 1) 261 4874
Jola - Kívül Belül Otthon,"4,3",,"Budapest, Fóti út 56/B, 1045",jola.hu,06 20 400 5053
Ledlámpaház,"4,8",,"Budapest, Práter u. 34, 1083",ledlampahaz.hu,06 70 366 3887
Üvegmozaik - SPANYOL MOZAIK - Mozaik Csempe - 11. kerület,"4,6",,"Budapest, Hunyadi János út 162, 1117",uvegmozaik.hu,(06 1) 204 8602
Comex-Trade Termelő és Értékesítő Kft.,,,"Budapest, Baross u 38, 1085",,(06 1) 318 9506
Keretezek.hu Üveg-Tükör-Képkeret,"5,0",,"Budapest, Elek u. 9/A, 1113",keretezek.hu,(06 1) 365 8764
MesterekFutára - Az online tüzép,"4,8",,"Budapest, Ihász u. 12/A, 1105",mesterekfutara.hu,06 30 910 0611
Lőrinc Parkettaszaküzlet kft.,"4,9",,"Budapest, Üllői út 563, 1182",lorincparkett.hu,06 20 431 4789
Radof Kárpitos Műhely,,,"Budapest, Baross u 21, 1082",radoffurniture.com,06 70 427 0111
Olasz Konyhabútor Design Kft,"5,0",,"Budapest, Maros utca 12, 1122",olaszkonyhak.com,06 20 551 8305
